Date,Open,High,Low,Close,Adj Close,Volume
2021-09-30,0.744810,0.745300,0.739800,0.744800,0.744800,0
2021-10-01,0.742410,0.744250,0.736730,0.742400,0.742400,0
2021-10-04,0.736870,0.738900,0.733150,0.736870,0.736870,0
2021-10-05,0.734880,0.736060,0.732600,0.734890,0.734890,0
2021-10-06,0.733910,0.738300,0.733600,0.733800,0.733800,0
2021-10-07,0.735690,0.736820,0.733280,0.735720,0.735720,0
2021-10-08,0.734240,0.736110,0.732400,0.734200,0.734200,0
2021-10-11,0.734310,0.734600,0.731300,0.734400,0.734400,0
2021-10-12,0.735680,0.736900,0.733280,0.735800,0.735800,0
2021-10-13,0.736530,0.736540,0.732730,0.736440,0.736440,0
2021-10-14,0.731490,0.732120,0.728100,0.731570,0.731570,0
2021-10-15,0.731600,0.731600,0.726030,0.731590,0.731590,0
2021-10-18,0.726740,0.729350,0.726530,0.726660,0.726660,0
2021-10-19,0.727900,0.727900,0.722961,0.727990,0.727990,0
2021-10-20,0.724910,0.727630,0.723400,0.724995,0.724995,0
2021-10-21,0.723400,0.725310,0.722857,0.723432,0.723432,0
2021-10-22,0.725100,0.727640,0.723890,0.725100,0.725100,0
2021-10-25,0.726400,0.727620,0.725070,0.726600,0.726600,0
2021-10-26,0.726420,0.726840,0.723090,0.726510,0.726510,0
2021-10-27,0.726300,0.729350,0.725670,0.726420,0.726420,0
2021-10-28,0.728200,0.728700,0.723840,0.728180,0.728180,0
2021-10-29,0.724600,0.730900,0.724400,0.724600,0.724600,0
2021-11-01,0.730650,0.733010,0.730330,0.730820,0.730820,0
2021-11-02,0.732100,0.734710,0.731680,0.732310,0.732310,0
2021-11-03,0.734350,0.734680,0.731820,0.734355,0.734355,0
2021-11-04,0.730270,0.742214,0.730210,0.730200,0.730200,0
2021-11-05,0.740220,0.744830,0.740200,0.740269,0.740269,0
2021-11-08,0.741310,0.743390,0.736390,0.741220,0.741220,0
2021-11-09,0.737260,0.739300,0.735000,0.737218,0.737218,0
2021-11-10,0.737410,0.742480,0.737100,0.737463,0.737463,0
2021-11-11,0.745560,0.747930,0.744450,0.745560,0.745560,0
2021-11-12,0.748100,0.748840,0.745000,0.748140,0.748140,0
2021-11-15,0.745330,0.746050,0.743520,0.745320,0.745320,0
2021-11-16,0.745660,0.745660,0.742200,0.745800,0.745800,0
2021-11-17,0.744920,0.746120,0.741280,0.744900,0.744900,0
2021-11-18,0.741310,0.742644,0.739979,0.741200,0.741200,0
2021-11-19,0.740830,0.745800,0.740200,0.740760,0.740760,0
2021-11-22,0.744402,0.746700,0.743500,0.744350,0.744350,0
2021-11-23,0.746400,0.749390,0.745800,0.746400,0.746400,0
2021-11-24,0.747620,0.750480,0.746840,0.747610,0.747610,0
2021-11-25,0.750130,0.751510,0.748895,0.750150,0.750150,0
2021-11-26,0.751120,0.752980,0.749150,0.751080,0.751080,0
2021-11-29,0.749650,0.752430,0.748330,0.749570,0.749570,0
2021-11-30,0.750940,0.757220,0.747980,0.751030,0.751030,0
2021-12-01,0.752110,0.753170,0.749000,0.752110,0.752110,0
2021-12-02,0.753050,0.753440,0.750040,0.753012,0.753012,0
2021-12-03,0.751840,0.756920,0.751420,0.751880,0.751880,0
2021-12-06,0.755690,0.756210,0.752700,0.755440,0.755440,0
2021-12-07,0.753910,0.756970,0.752460,0.753900,0.753900,0
2021-12-08,0.754800,0.759030,0.754000,0.754940,0.754940,0
2021-12-09,0.757000,0.758940,0.756600,0.757000,0.757000,0
2021-12-10,0.756150,0.758100,0.753520,0.756200,0.756200,0
2021-12-13,0.754260,0.756290,0.753650,0.754310,0.754310,0
2021-12-14,0.756810,0.758100,0.754400,0.756800,0.756800,0
2021-12-15,0.755780,0.757110,0.752850,0.755829,0.755829,0
2021-12-16,0.753920,0.755110,0.747760,0.753970,0.753970,0
2021-12-17,0.750510,0.754280,0.749600,0.750540,0.750540,0
2021-12-20,0.755860,0.759070,0.755090,0.755890,0.755890,0
2021-12-21,0.757010,0.757590,0.754080,0.757002,0.757002,0
2021-12-22,0.753580,0.755210,0.748370,0.753600,0.753600,0
2021-12-23,0.748950,0.749340,0.744200,0.748950,0.748950,0
2021-12-24,0.745760,0.746600,0.744840,0.745900,0.745900,0
2021-12-27,0.745979,0.746700,0.744009,0.746029,0.746029,0
2021-12-28,0.743800,0.745250,0.742800,0.743900,0.743900,0
2021-12-29,0.744380,0.745760,0.740780,0.744420,0.744420,0
2021-12-30,0.740870,0.743200,0.739560,0.740807,0.740807,0
2021-12-31,0.740800,0.742530,0.738090,0.740830,0.740830,0
2022-01-03,0.739520,0.744450,0.739000,0.739520,0.739520,0
2022-01-04,0.741686,0.742900,0.737640,0.741660,0.741660,0
2022-01-05,0.739070,0.739500,0.736740,0.739020,0.739020,0
2022-01-06,0.737710,0.741230,0.737600,0.737700,0.737700,0
2022-01-07,0.738880,0.739130,0.736190,0.738900,0.738900,0
2022-01-10,0.735790,0.738870,0.735190,0.735710,0.735710,0
2022-01-11,0.736285,0.737310,0.733990,0.736360,0.736360,0
2022-01-12,0.733460,0.734100,0.729960,0.733500,0.733500,0
2022-01-13,0.729560,0.729630,0.727300,0.729395,0.729395,0
2022-01-14,0.729240,0.731652,0.727700,0.729200,0.729200,0
2022-01-17,0.731340,0.733210,0.730514,0.731340,0.731340,0
2022-01-18,0.732708,0.736580,0.732000,0.732708,0.732708,0
2022-01-19,0.735250,0.735870,0.732700,0.735280,0.735280,0
2022-01-20,0.734780,0.735210,0.731980,0.734830,0.734830,0
2022-01-21,0.735280,0.738140,0.735100,0.735420,0.735420,0
2022-01-24,0.737740,0.743880,0.737100,0.737690,0.737690,0
2022-01-25,0.741300,0.744210,0.740710,0.741330,0.741330,0
2022-01-26,0.740170,0.741060,0.739400,0.740150,0.740150,0
2022-01-27,0.742510,0.748470,0.742510,0.742500,0.742500,0
2022-01-28,0.746910,0.748190,0.744490,0.746920,0.746920,0
2022-01-31,0.746150,0.746530,0.743260,0.746080,0.746080,0
2022-02-01,0.743900,0.744280,0.739970,0.743750,0.743750,0
2022-02-02,0.739430,0.739800,0.736110,0.739350,0.739350,0
2022-02-03,0.737220,0.738600,0.733920,0.737190,0.737190,0
2022-02-04,0.735500,0.740300,0.734400,0.735380,0.735380,0
2022-02-07,0.738900,0.741190,0.737990,0.738910,0.738910,0
2022-02-08,0.738640,0.740200,0.737100,0.738672,0.738672,0
2022-02-09,0.738110,0.738650,0.735930,0.738140,0.738140,0
2022-02-10,0.738880,0.739350,0.732960,0.738920,0.738920,0
2022-02-11,0.738020,0.739900,0.734820,0.737910,0.737910,0
2022-02-14,0.736910,0.740970,0.736800,0.736940,0.736940,0
2022-02-15,0.738920,0.741280,0.737090,0.738940,0.738940,0
2022-02-16,0.738490,0.738600,0.735840,0.738490,0.738490,0
2022-02-17,0.736250,0.737570,0.733330,0.736110,0.736110,0
2022-02-18,0.734460,0.736680,0.733100,0.734280,0.734280,0
2022-02-21,0.735738,0.735990,0.733230,0.735650,0.735650,0
2022-02-22,0.735550,0.738550,0.735000,0.735510,0.735510,0
2022-02-23,0.735790,0.738050,0.734240,0.735870,0.735870,0
2022-02-24,0.738300,0.753240,0.738150,0.738240,0.738240,0
2022-02-25,0.747820,0.748000,0.744100,0.747760,0.747760,0
2022-02-28,0.747940,0.749480,0.744540,0.747760,0.747760,0
2022-03-01,0.745000,0.751200,0.744200,0.745000,0.745000,0
2022-03-02,0.750000,0.753350,0.747890,0.749900,0.749900,0
2022-03-03,0.746420,0.750730,0.745270,0.746440,0.746440,0
2022-03-04,0.748990,0.757270,0.748990,0.749010,0.749010,0
2022-03-07,0.756860,0.763130,0.756090,0.756860,0.756860,0
2022-03-08,0.762540,0.764310,0.760870,0.762643,0.762643,0
2022-03-09,0.763210,0.763400,0.758590,0.763400,0.763400,0
2022-03-10,0.758240,0.762930,0.757880,0.758400,0.758400,0
2022-03-11,0.763180,0.766140,0.761910,0.763170,0.763170,0
2022-03-14,0.766310,0.768610,0.764600,0.766266,0.766266,0
2022-03-15,0.768590,0.769150,0.764020,0.768530,0.768530,0
